Solution,n0,n,time
823194567654827931971536428136942875789651342542783619268475193497318256315269784,45,0,0.011991262435913086
135984672946257831728613549694832157357196284812745396269378415581429763473561928,43,0,0.0074825286865234375
218745936496832517753196824531984762827613459649257381962378145185429673374561298,43,0,0.008021116256713867
749123865612589374358746129435817296276394581981265743193472658867951432524638917,43,0,0.012970209121704102
846521379523749816197863425715632948689154237234978651351296784468317592972485163,45,0,0.023984670639038086
496157832218396745753284196531672984649831257827549613962415378185763429374928561,43,0,0.011005163192749023
496832751218745693753196482962378514374561829185429367531984276649257138827613945,43,0,0.007984161376953125
512947863789316452634582179856294731927138546341765928268479315493651287175823694,45,0,0.024584531784057617
568247913342195687197863254685312479734958162219674538473526891851439726926781345,43,0,0.007016897201538086
157823946396754128284169573415387692928516734763492815672948351831275469549631287,43,0,0.008978128433227539
728613549946257831135984672694832157812745396357196284473561928269378415581429763,51,0,0.015990495681762695
984276531257138649613945827378514962561829374429367185196482753745693218832751496,51,0,0.015990257263183594
619842735378591624452367198126759843987423561543618279295136487731284956864975312,49,0,0.035979509353637695
378451962561982374429736185832175496745369218196248753984627531613594827257813649,51,0,0.013000011444091797
196735284745281396832469157984513672257694831613872549378926415429158763561347928,51,0,0.01399374008178711
586319247324786195179452863658974312291835674743261958437198526815627439962543781,51,0,0.022984743118286133
723685194614293758598741326459827631186354279372916485861572943235469817947138562,49,0,0.03298354148864746
257831649984672531613549827378415962429763185561928374832157496745396218196284753,51,0,0.02442193031311035
342875961579361428816429537764132895285694713931758246458213679693547182127986354,49,0,0.027982234954833984
743256819518349762269871354687425931428913670931687245856132497374598126192764583,51,1,0.017989635467529297
156928374942763185837415962283157496574396218619284753361549827498672531725831649,53,33,0.022987842559814453
534197286982653417761284539275816394643579821819342765398465172427931658156728943,58,53,0.7512428760528564
863957124215483967479612358794328615356194872182576439648735291531249786927861543,58,53,0.200958251953125
687195342913247568254863197479312685162958734538674219891526473726439851345781926,53,25,0.04098391532897949
984672513613549872257831694561928347429763158378415926832157469745396281196284735,56,37,0.046973228454589844
913724568254386197687519342891652473726943851345178926538467219162895734479231685,56,42,0.05598926544189453
427913658915687432683254917598162374132479865764538129256891743871345296349726581,53,37,0.05194711685180664
496157832218396745753284196531672984827549613649831257185763429962415378374928561,56,0,0.055968523025512695
871692345349185726256347891132568479598473162764921538427856913915234687683719254,53,43,0.17190170288085938
671485392983216457245397681139854726468732915527169843814623579796541238352978164,58,53,0.1319262981414795
217654983586391247493287516174539862632178495958426731741962358329815674865743129,59,53,0.9814891815185547
984351627257469813613287594378692451429815736561734982196573248832946175745128369,58,54,0.14609575271606445
962748513451693872387512694514826937796431258238957461675384129823169745149275386,59,53,0.045972585678100586
762489531381752649459316827517238496936547218824691753673924185145873962298165374,58,58,0.5322291851043701
783419652294765831165832479852194367936257184417683925678541293549328716321976548,59,53,0.19588708877563477
962451783587632149413897562394725816851964237276183954128376495645219378739548621,59,53,0.0829782485961914
459613728381257946762984135298561473673429581145378269517832694936745812824196357,58,54,0.39877915382385254
179254683324687915586913427962345871815726349437891256658479132743162598291538764,58,54,0.520244836807251
496832571753196842218745963531984726649257318827613495962378154185429637374561289,59,53,0.8446216583251953
435178629981652374276943158867519243193724865524386791749231586612895437358467912,58,48,0.05501961708068848
193584672526713984478926513961357428234698751857241396385169247749832165612475839,59,44,0.036989450454711914
986254173734618295512379846169782354475931682823465719298146537657893421341527968,59,44,0.07994484901428223
273951468918436275546287913324518697897624351165379824689745132452193786731862549,59,44,0.16393542289733887
947513826328964715156278439264891357873645192591732684482356971715489263639127548,59,44,0.3900635242462158
142379586368125479759846123635781942217694358894253761521438697473962815986517234,59,44,0.18956637382507324
453298716762135849189467523834512697275649381691873452926784135347951268518326974,59,44,0.16894054412841797
572468913318795264469312875983124657154687392627539481791843526245976138836251749,59,44,0.16488313674926758
945216783238795164167348295891623547523874619674159832356987421719462358482531976,59,44,0.18891382217407227
148629357297435168653817942965743281382961475471258693519384726736592814824176539,59,44,0.1069338321685791
475138269213976584869542317798354126346291875152867943527619438631485792984723651,59,44,0.03896212577819824
